user_ID,frequence,amount,recently,type
2298,1,1082,19,0
2299,2,2817,64,1
2301,1,250,108,0
2302,1,392,20,0
2304,4,4417,8,1
2305,3,2685,75,1
2308,1,643,93,0
2309,4,4046,95,1
2310,3,1237,10,1
2312,1,1364,98,0
2314,3,2940,130,0
2315,3,2786,76,1
2317,1,318,78,0
2318,2,2951,0,1
2319,2,1493,18,0
2320,1,517,44,0
2322,4,4716,79,1
2323,2,2517,140,0
2324,3,2234,7,1
2325,1,291,42,0
2326,2,1535,17,0
2327,1,938,111,0
2329,2,667,43,0
2330,3,3676,42,1
2332,6,3816,17,1
2334,2,2079,148,0
2336,2,1931,15,0
2337,5,4992,46,1
2338,2,865,63,0
2339,2,1565,88,0
2340,3,2121,16,0
2342,2,1266,19,0
2343,4,3269,78,1
2344,2,1742,28,0
2346,2,2287,49,0
2348,2,2148,87,0
2349,2,636,28,0
2350,3,3457,79,1
2352,2,1916,114,0
2353,1,1260,154,0
2354,3,3635,23,1
2355,1,290,35,0
2356,3,2014,22,0
2357,1,1341,59,0
2358,4,3861,5,1
2359,2,2301,22,0
2360,4,4100,57,1
2361,42,35569,1,1
2362,1,1654,113,0
2363,1,1048,4,0
2364,3,3601,124,1
2366,1,594,49,0
2367,2,852,14,0
2368,5,3332,47,1
2369,1,644,49,0
2371,3,2275,47,0
2372,1,1151,102,0
2373,1,1246,51,0
2376,3,1771,46,1
2377,4,4186,23,1
2378,2,1791,72,0
2379,2,752,119,0
2380,1,1584,58,0
2382,1,931,19,0
2384,4,4053,9,1
2386,4,5746,98,1
2389,3,3614,1,1
2391,2,1311,80,0
2392,2,2204,1,0
2393,4,4502,4,1
2394,3,2189,1,0
2399,2,2330,21,0
2400,2,1490,68,0
2402,1,1312,132,0
2403,4,3005,52,1
2404,3,2367,63,0
2405,3,3556,12,1
2406,4,4396,124,1
2408,1,1164,68,0
2410,2,2864,17,1
2414,4,3904,16,1
2416,1,1270,60,0
2417,2,450,10,0
2420,1,314,35,0
2421,3,2621,76,0
2422,3,2897,109,0
2423,3,2608,38,1
2424,2,1139,29,0
2425,3,3080,102,1
2426,4,4337,71,1
2427,4,2073,45,1
2429,5,4697,27,1
2431,2,1693,58,0
2434,4,5204,19,1
2437,2,990,35,0
2438,1,1195,93,0
2440,2,1862,62,0
2441,1,358,21,0
2442,2,1145,19,0
2443,1,1196,90,0
2444,3,3249,27,1
2445,3,2036,114,0
2446,2,1526,168,0
2447,2,2394,44,0
2448,4,4176,7,1
2451,3,3268,3,1
2452,2,1929,89,0
2453,2,1988,8,0
2454,3,2165,12,1
2455,5,4320,69,1
2456,2,1272,49,0
2457,3,3476,119,0
2459,1,1214,143,0
2460,2,1582,99,0
2462,1,947,97,0
2464,2,964,27,0
2466,27,24464,13,1
2468,2,2197,67,0
2469,1,1440,112,0
2471,2,2097,101,0
2472,2,3183,53,1
2473,3,2846,24,1
2474,2,1684,144,0
2475,3,3725,79,1
2476,4,2634,10,1
2477,3,3298,17,1
2478,4,4290,22,1
2479,2,1893,12,1
2480,2,2407,33,0
2481,3,2712,107,1
2482,2,1480,23,0
2483,1,463,25,0
2485,2,913,41,0
2487,5,4478,81,1
2488,25,25564,3,1
2489,2,1489,44,0
2490,2,2671,104,0
2492,2,628,9,0
2493,4,2709,14,1
2494,4,3371,11,1
2496,4,4184,63,1
2497,4,2727,15,1
2498,1,378,121,0
2499,3,3205,55,1
2501,5,3388,70,1
2502,3,3287,22,1
2503,2,1353,85,0
2504,3,3017,79,1
2505,6,5700,21,1
2506,6,3683,1,1
2507,1,247,59,0
2508,2,2683,33,1
2510,2,2350,58,0
2511,4,3314,1,1
2513,3,2436,6,0
2514,3,1799,22,1
2515,2,1636,127,0
2519,2,2777,74,1
2520,4,3799,67,1
2521,1,1328,44,0
2522,3,2927,36,1
2526,2,1824,170,0
2527,3,1869,38,1
2528,5,3476,53,1
2529,2,840,66,0
2530,2,1618,49,0
2531,1,1378,63,0
2533,2,2183,4,0
2534,4,2491,94,0
2537,3,2448,115,0
2538,6,5258,37,1
2539,2,2251,37,0
2540,2,1864,166,0
2545,2,1836,78,0
2546,3,1994,36,0
2548,2,2250,15,0
2549,2,1988,83,0
2550,2,1007,26,0
2552,2,705,44,0
2554,2,1320,22,0
2555,3,2870,15,1
2556,3,3075,57,1
2557,2,1739,16,0
2559,1,1352,141,0
2560,1,1420,6,0
2562,1,1269,108,0
2563,3,2724,39,1
2564,3,2648,21,1
2565,1,1198,49,0
2566,2,1531,124,0
2567,3,3387,44,1
2568,1,1462,16,0
2569,2,1630,21,0
2570,2,2522,107,0
2571,23,21414,7,1
2572,2,1703,126,0
2574,4,3859,21,1
2575,4,2709,148,0
2576,2,1287,8,0
2579,1,1263,14,0
2580,5,5557,36,1
2581,1,465,144,0
2582,5,3288,34,1
2583,2,2437,162,0
2585,4,3824,17,1
2587,3,2073,56,0
2588,5,4945,24,1
2589,2,2442,113,0
2590,2,3062,58,1
2592,4,4830,28,1
2593,3,3491,47,1
2594,2,1795,50,0
2596,4,2812,14,1
2598,2,1485,54,0
2600,28,25658,3,1
2602,1,600,188,0
2603,3,3497,88,1
2606,2,891,27,0
2607,1,1725,113,0
2609,4,3198,100,1
2610,2,970,22,0
2611,3,2473,9,1
2612,1,1209,126,0
2613,3,1644,19,1
2615,2,1911,68,0
2616,2,1057,8,0
2618,3,3102,77,1
2620,1,334,192,0
2621,2,2169,120,0
2622,2,1450,21,0
2623,2,2235,86,0
2624,1,1463,119,0
2625,3,2660,4,1
2626,7,6311,27,1
2627,2,2029,22,0
2628,2,2812,141,0
2630,1,834,145,0
2634,1,970,53,0
2637,3,2836,1,1
2638,3,2886,7,1
2640,3,2300,0,1
2641,2,1396,8,0
2642,2,2582,28,1
2643,3,1583,161,0
2644,2,2173,2,0
2646,1,1834,3,0
2647,3,2335,31,1
2648,1,647,29,0
2650,1,837,59,0
2651,2,1989,22,0
2652,1,1213,134,0
2654,2,1580,127,0
2656,3,3344,63,1
2658,5,4109,40,1
2662,1,1086,97,0
2664,4,3986,32,1
2665,4,4610,16,1
2670,4,4103,73,1
2671,4,3711,47,1
2672,6,7267,5,1
2673,4,4591,2,1
2676,5,2835,26,1
2678,6,6388,22,1
2679,3,2748,4,1
2680,3,2364,141,0
2682,2,2286,34,0
2684,3,2106,16,1
2687,1,1244,139,0
2688,3,2629,31,1
2689,1,374,77,0
2690,1,1017,14,0
2691,3,3166,34,1
2693,2,1871,129,0
2694,3,1926,3,1
2695,3,2248,42,1
2698,1,1223,150,0
2699,4,4580,16,1
2701,1,1323,73,0
2702,4,3364,20,1
2704,2,1224,8,0
2705,3,3345,1,1
2706,1,666,98,0
2707,3,3206,12,1
2709,1,1676,73,0
2710,3,2799,123,0
2711,3,2790,24,1
2713,3,2885,35,1
2716,3,1502,52,0
2718,2,1705,48,0
2719,2,2330,66,0
2725,1,1843,74,0
2727,5,3832,106,1
2728,2,2025,105,0
2729,1,641,48,0
2730,1,642,36,0
2731,1,936,80,0
2732,4,5065,36,1
